book_id,title,avg_rating,pages,genres,url
20412869.0,Study Guide: The Perks of Being a Wallflower by Stephen Chbosky,3.98,38,Fiction,https://www.goodreads.com/book/show/20412869.0
49676332.0,Study Guide: Nineteen Minutes by Jodi Picoult,4.00,80,,https://www.goodreads.com/book/show/49676332.0
6149.0,Beloved,3.98,325,"Magical Realism, Classics, School",https://www.goodreads.com/book/show/6149.0
19365546.0,Summary & Study Guide Fallout by Ellen Hopkins,4.67,31,,https://www.goodreads.com/book/show/19365546.0
12437190.0,Crank by Ellen Hopkins l Summary & Study Guide,4.60,N/A,,https://www.goodreads.com/book/show/12437190.0
270804.0,Glass,4.29,681,"Young Adult, Realistic Fiction, Addiction",https://www.goodreads.com/book/show/270804.0
37542448.0,Summary & Study Guide Identical by Ellen Hopkins,5.00,63,,https://www.goodreads.com/book/show/37542448.0
894640.0,"It's Your World--If You Don't Like It, Change It: Activism for Teenagers",3.41,304,"Nonfiction, Self Help, Social Issues",https://www.goodreads.com/book/show/894640.0
49676332.0,Study Guide: Nineteen Minutes by Jodi Picoult,4.00,80,,https://www.goodreads.com/book/show/49676332.0
24612624.0,Melissa,4.09,208,"Middle Grade, Realistic Fiction, LGBT",https://www.goodreads.com/book/show/24612624.0
160146150.0,Smoke by Ellen Hopkins (10-Sep-2013) Hardcover,4.33,N/A,"Young Adult, Realistic Fiction, Romance",https://www.goodreads.com/book/show/160146150.0
38326884.0,Redwood and Ponytail,4.17,424,"Middle Grade, Realistic Fiction, LGBT",https://www.goodreads.com/book/show/38326884.0
44805980.0,"The Hate U Give by Angie Thomas (Book Analysis): Detailed Summary, Analysis and Reading Guide",4.44,25,,https://www.goodreads.com/book/show/44805980.0
21060082.0,Summary & Study Guide The Kite Runner by Khaled Hosseini,4.00,64,"Fiction, Contemporary",https://www.goodreads.com/book/show/21060082.0
24795284.0,Summary & Study Guide Thirteen Reasons Why by Jay Asher,3.88,52,,https://www.goodreads.com/book/show/24795284.0
45294414.0,Study Guide: The Bluest Eye by Toni Morrison,3.50,56,,https://www.goodreads.com/book/show/45294414.0
75613675.0,Study Guide: You Should See Me in a Crown by Leah Johnson,0.00,N/A,,https://www.goodreads.com/book/show/75613675.0
50998103.0,Ana on the Edge,4.36,380,"Middle Grade, Realistic Fiction, LGBT",https://www.goodreads.com/book/show/50998103.0
99561.0,Looking for Alaska,3.96,221,"Young Adult, Realistic Fiction, Romance",https://www.goodreads.com/book/show/99561.0
