goodreads_id,goodreads_url,avg_rating,rating_count,review_count,scrape_status,dist_5_star_raw,count_5_star,pct_5_star,dist_4_star_raw,count_4_star,pct_4_star,dist_3_star_raw,count_3_star,pct_3_star,dist_2_star_raw,count_2_star,pct_2_star,dist_1_star_raw,count_1_star,pct_1_star,book_title,author,polarization,rating_skew,http_status,is_study_guide,log_rating_count,data_quality,pen_genre,total_ban_instances,states_banned_in
10619,https://www.goodreads.com/book/show/10619,3.76,124344.0,4761.0,ok,"35,366 (28%)",35366.0,28.0,"40,054 (32%)",40054.0,32.0,"35,435 (28%)",35435.0,28.0,"10,755 (8%)",10755.0,8.0,"2,734 (2%)",2734.0,2.0,Rose Madder,"King, Stephen",0.3,0.26,,False,5.0946248339987275,Good,"Horror, Fiction, Thriller, Fantasy, Suspense, Supernatural, Audiobook",6,3
244838525,https://www.goodreads.com/book/show/244838525,0.0,0.0,0.0,ok,0 (0%),0.0,0.0,0 (0%),0.0,0.0,0 (0%),0.0,0.0,0 (0%),0.0,0.0,0 (0%),0.0,0.0,Salem's Lot,"King, Stephen",0.0,0.0,,False,0.0,Very Low Ratings,"Horror, Fiction, Vampires, Fantasy, Thriller, Paranormal, Audiobook",3,1
24149977,https://www.goodreads.com/book/show/24149977,3.79,1209.0,152.0,ok,313 (25%),313.0,25.0,455 (37%),455.0,37.0,344 (28%),344.0,28.0,74 (6%),74.0,6.0,23 (1%),23.0,1.0,Skeleton Crew,"King, Stephen",0.26,0.24,,False,3.0824263008607717,Good,"Horror, Short Stories, Fiction, Fantasy, Thriller, Anthologies, Audiobook",7,4
34466922,https://www.goodreads.com/book/show/34466922,3.73,95515.0,9904.0,ok,"24,392 (25%)",24392.0,25.0,"35,002 (36%)",35002.0,36.0,"25,273 (26%)",25273.0,26.0,"7,937 (8%)",7937.0,8.0,"2,911 (3%)",2911.0,3.0,Sleeping Beauties,"King, Stephen",0.28,0.22,,False,4.980071580020172,Good,"Horror, Fantasy, Fiction, Thriller, Audiobook, Mystery, Science Fiction",6,3
5093,https://www.goodreads.com/book/show/5093,4.0,176324.0,5943.0,ok,"61,640 (34%)",61640.0,34.0,"65,667 (37%)",65667.0,37.0,"38,190 (21%)",38190.0,21.0,"8,496 (4%)",8496.0,4.0,"2,331 (1%)",2331.0,1.0,Song of Susannah,"King, Stephen",0.35,0.33,,False,5.246311429475588,Good,"Fantasy, Fiction, Horror, Science Fiction, Adventure, Westerns, Audiobook",6,2
146560533,https://www.goodreads.com/book/show/146560533,3.96,26471.0,810.0,ok,"9,297 (35%)",9297.0,35.0,"8,946 (33%)",8946.0,33.0,"6,346 (23%)",6346.0,23.0,"1,527 (5%)",1527.0,5.0,355 (1%),355.0,1.0,Storm of the Century: An Original Screenplay,"King, Stephen",0.36,0.34,,False,4.422770348036467,Good,"Fiction, Storms",1,1
197215587,https://www.goodreads.com/book/show/197215587,4.07,30.0,5.0,ok,15 (50%),15.0,50.0,6 (20%),6.0,20.0,6 (20%),6.0,20.0,2 (6%),2.0,6.0,1 (3%),1.0,3.0,The Bachman Books,"King, Stephen",0.53,0.47,,False,1.4771212547196624,Low Ratings,"Horror, Fiction, Short Stories, Thriller, Science Fiction, Fantasy, Suspense",3,1
23512999,https://www.goodreads.com/book/show/23512999,3.91,68243.0,6616.0,ok,"18,612 (27%)",18612.0,27.0,"29,575 (43%)",29575.0,43.0,"16,398 (24%)",16398.0,24.0,"2,889 (4%)",2889.0,4.0,769 (1%),769.0,1.0,The Bazaar of Bad Dreams,"King, Stephen",0.28,0.26,,False,4.8340581104045945,Good,"Horror, Short Stories, Fiction, Fantasy, Audiobook, Thriller, Anthologies",4,1
11597,https://www.goodreads.com/book/show/11597,3.81,153052.0,4072.0,ok,"42,110 (27%)",42110.0,27.0,"54,316 (35%)",54316.0,35.0,"44,177 (28%)",44177.0,28.0,"10,168 (6%)",10168.0,6.0,"2,281 (1%)",2281.0,1.0,The Dark Half,"King, Stephen",0.28,0.26,,False,5.184839009093684,Good,"Horror, Fiction, Thriller, Fantasy, Supernatural, Mystery, Audiobook",4,1
11599,https://www.goodreads.com/book/show/11599,4.27,668.0,9.0,ok,343 (51%),343.0,51.0,203 (30%),203.0,30.0,94 (14%),94.0,14.0,18 (2%),18.0,2.0,10 (1%),10.0,1.0,The Dead Zone,"King, Stephen",0.52,0.5,,False,2.824776462475546,Good,"Horror, Fiction, Thriller, Fantasy, Science Fiction, Paranormal, Mystery",6,2
