book_title,author,goodreads_id,goodreads_url,found,match_score,matched_title,matched_author,reason
Lizard Radio,"Schmatz, Pat",24727102,https://www.goodreads.com/book/show/24727102-lizard-radio?from_search=true&from_srp=true&qid=vW7lnLZSBe&rank=2,True,0.9455,Lizard Radio,Pat Schmatz,ok
Jane Against the World: Roe v. Wade and the Fight for Reproductive Rights,"Blumenthal, Karen",44280840,https://www.goodreads.com/book/show/44280840-jane-against-the-world?from_search=true&from_srp=true&qid=0P1iprNBCW&rank=1,True,0.9437,Jane Against the World: Roe v. Wade and the Fight for Reproductive Rights,Karen Blumenthal,ok
Her Royal Highness,"Hawkins, Rachel",41734205,https://www.goodreads.com/book/show/41734205-her-royal-highness?from_search=true&from_srp=true&qid=mFc4cdncq4&rank=1,True,0.925,"Her Royal Highness (Royals, #2)",Rachel Hawkins,ok
Unpregnant,"Hendriks, Jenni",40599820,https://www.goodreads.com/book/show/40599820-unpregnant?from_search=true&from_srp=true&qid=Vv9xq9OUnw&rank=1,True,0.9357,Unpregnant,Jenni Hendriks,ok
See You at Harry's,"Knowles, Jo",12384984,https://www.goodreads.com/book/show/12384984-see-you-at-harry-s?from_search=true&from_srp=true&qid=OIzzrK0psW&rank=1,True,0.955,See You at Harry's,Jo Knowles,ok
The Vast Fields of Ordinary,"Burd, Nick",6017769,https://www.goodreads.com/book/show/6017769-the-vast-fields-of-ordinary?from_search=true&from_srp=true&qid=4Ri3lP9uRm&rank=2,True,0.9167,The Vast Fields of Ordinary,Nick Burd,ok
Death Wind,"Bell, William",588325,https://www.goodreads.com/book/show/588325.Death_Wind?from_search=true&from_srp=true&qid=CXeaM2ogRM&rank=1,True,0.9375,Death Wind,William Bell,ok
"l8r, g8r","Myracle, Lauren",563321,https://www.goodreads.com/book/show/563321.l8r_g8r?from_search=true&from_srp=true&qid=9Ll2cmJ1fw&rank=1,True,0.925,"l8r, g8r (Internet Girls, #3)",Lauren Myracle,ok
Iron Heart (Crier's War Series),"Varela, Nina",72134842,https://www.goodreads.com/book/show/72134842-iron-heart?from_search=true&from_srp=true&qid=YDzaFAx0iN&rank=1,True,0.9318,Iron Heart (The Crier's War Series),Nina Varela,ok
Love & Other Carnivorous Plants,"Gonsalves, Florence",31681354,https://www.goodreads.com/book/show/31681354-love-other-carnivorous-plants?from_search=true&from_srp=true&qid=LG9gDJb2Fe&rank=1,True,0.925,Love & Other Carnivorous Plants,Florence Gonsalves,ok
All the Invisible Things,"Collins, Orlagh",42371083,https://www.goodreads.com/book/show/42371083-all-the-invisible-things?from_search=true&from_srp=true&qid=z8LMj6zmPV&rank=1,True,0.925,All the Invisible Things,Orlagh Collins,ok
Aristotle and Dante Dive into the Waters of the World (Aristotle and Dante Series),"Sáenz, Benjamin Alire",,,False,,,,no_candidates
The Coldest Touch,"Sterling, Isabel",53457146,https://www.goodreads.com/book/show/53457146-the-coldest-touch?from_search=true&from_srp=true&qid=bYLOkpVbNS&rank=1,True,0.93,The Coldest Touch,Isabel Sterling,ok
Indivisible,"Aleman, Daniel",50999689,https://www.goodreads.com/book/show/50999689-indivisible?from_search=true&from_srp=true&qid=y6EF2512bv&rank=1,True,0.9192,Indivisible,Daniel  Aleman,ok
Heartstopper: Volume Two (Heartstopper Series),"Oseman, Alice",,,False,,,,no_candidates
