book_title,author,goodreads_id,goodreads_url,found,match_score,matched_title,matched_author,reason
Sloppy Firsts (Jessica Darling Series),"McCafferty, Megan",9976008,https://www.goodreads.com/book/show/9976008-the-complete-jessica-darling-series?from_search=true&from_srp=true&qid=SouPuKt8Ne&rank=1,True,0.2734,"The Complete Jessica Darling Series: Sloppy Firsts, Second Helpings, Charmed Thirds, Fourth Comings, Perfect Fifths",Megan McCafferty,ok
Outlander (Outlander Series),"Gabaldon, Diana",16029144,https://www.goodreads.com/book/show/16029144-the-outlander-series?from_search=true&from_srp=true&qid=WYqq5uZsej&rank=9,True,0.6133,"The Outlander Series (Outlander, #1-7)",Diana Gabaldon,ok
Gender Queer: A Memoir,"Kobabe, Maia",42837514,https://www.goodreads.com/book/show/42837514-gender-queer?from_search=true&from_srp=true&qid=3HFsRzvcoe&rank=2,True,0.9318,Gender Queer: A Memoir,Maia Kobabe,ok
The Family Fletcher Takes Rock Island (Family Fletcher Series),"Levy, Dana Alison",,,False,,,,no_candidates
Thirteen Reasons Why,"Asher, Jay",29844228,https://www.goodreads.com/book/show/29844228-thirteen-reasons-why?from_search=true&from_srp=true&qid=1gM0viTYKO&rank=3,True,0.9333,Thirteen Reasons Why,Jay Asher,ok
The Truth About Alice: A Novel,"Mathieu, Jennifer",69438589,https://www.goodreads.com/book/show/69438589-the-truth-about-alice?from_search=true&from_srp=true&qid=11QnnV1ZXf&rank=1,True,0.925,The Truth About Alice: A Novel,Jennifer Mathieu,ok
Looking for Alaska,"Green, John",99561,https://www.goodreads.com/book/show/99561.Looking_for_Alaska?from_search=true&from_srp=true&qid=9ZA7YVmisQ&rank=1,True,0.925,Looking for Alaska,John Green,ok
Out of Darkness,"Perez, Ashley Hope",25256386,https://www.goodreads.com/book/show/25256386-out-of-darkness?from_search=true&from_srp=true&qid=1mO42rpylu&rank=1,True,0.9471,Out of Darkness,Ashley Hope Pérez,ok
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",29010395,https://www.goodreads.com/book/show/29010395-i-am-not-your-perfect-mexican-daughter?from_search=true&from_srp=true&qid=01SVko42tW&rank=1,True,0.92,I Am Not Your Perfect Mexican Daughter,Erika L. Sánchez,ok
Milk and Honey,"Kaur, Rupi",23513349,https://www.goodreads.com/book/show/23513349-milk-and-honey?from_search=true&from_srp=true&qid=KkDLb3wBUx&rank=7,True,0.9167,Milk and honey,Rupi Kaur,ok
Life is Funny,"Frank, ER",98024,https://www.goodreads.com/book/show/98024.Life_Is_Funny?from_search=true&from_srp=true&qid=Ua1s3nyCLG&rank=1,True,0.9382,Life Is Funny,E.R. Frank,ok
The Bluest Eye,"Morrison, Toni",11337,https://www.goodreads.com/book/show/11337.The_Bluest_Eye?from_search=true&from_srp=true&qid=E3YZQi4rqg&rank=3,True,0.9423,The Bluest Eye,Toni Morrison,ok
All Boys Aren't Blue,"Johnson, George M.",44280883,https://www.goodreads.com/book/show/44280883-all-boys-aren-t-blue?from_search=true&from_srp=true&qid=pZVNB6PUXA&rank=1,True,0.925,All Boys Aren’t Blue,George M.   Johnson,ok
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",693208,https://www.goodreads.com/book/show/693208.The_Absolutely_True_Diary_of_a_Part_Time_Indian?from_search=true&from_srp=true&qid=6Gunk2GLtT&rank=2,True,0.925,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,ok
Home at Last,"Elya, Susan Middleton",3695892,https://www.goodreads.com/book/show/3695892-home-at-last?from_search=true&from_srp=true&qid=zZjnfLytAc&rank=2,True,0.9625,Home at Last,Susan Middleton Elya,ok
The Kite Runner,"Hosseini, Khaled",22095553,https://www.goodreads.com/book/show/22095553-quicklet-on-the-kite-runner-by-khaled-hosseini?from_search=true&from_srp=true&qid=emnav9eu3F&rank=6,True,0.468,Quicklet On The Kite Runner By Khaled Hosseini (CliffNotes-like Book Summary),Karen Lac (Khaled Hosseini Analysis),ok
Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,"Leff, Carrie",201334740,https://www.goodreads.com/book/show/201334740-celebrate-your-body-2?from_search=true&from_srp=true&qid=OAzNaOnZoR&rank=2,True,0.934,Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,Dr. Carrie Leff,ok
Piecing Me Together,"Watson, Renée",25566675,https://www.goodreads.com/book/show/25566675-piecing-me-together?from_search=true&from_srp=true&qid=eBBXRBdBwg&rank=4,True,0.925,Piecing Me Together,Renée  Watson,ok
Duels and Deception,"Anstey, Cindy",29569260,https://www.goodreads.com/book/show/29569260-duels-deception?from_search=true&from_srp=true&qid=ymc85RtkYM&rank=1,True,0.825,Duels & Deception,Cindy Anstey,ok
Forbidden,"Suzuma, Tabitha",7600924,https://www.goodreads.com/book/show/7600924-forbidden?from_search=true&from_srp=true&qid=Fzl90uwgsk&rank=1,True,0.925,Forbidden,Tabitha Suzuma,ok
This Day in June,"Pitman, Gayle E.",18615267,https://www.goodreads.com/book/show/18615267-this-day-in-june?from_search=true&from_srp=true&qid=HuLpPLMPws&rank=1,True,0.925,This Day in June,Gayle E. Pitman,ok
Forever...,"Blume, Judy",37743,https://www.goodreads.com/book/show/37743.Forever_?from_search=true&from_srp=true&qid=VPtzBkUheC&rank=3,True,0.925,Forever...,Judy Blume,ok
Everywhere Babies,"Meyers, Susan",931906,https://www.goodreads.com/book/show/931906.Everywhere_Babies?from_search=true&from_srp=true&qid=uoeAv5H2fV&rank=5,True,0.925,Everywhere Babies,Susan Meyers,ok
The Hate U Give,"Thomas, Angie",58651625,https://www.goodreads.com/book/show/58651625-the-hate-u-give?from_search=true&from_srp=true&qid=OJ8Nk9WPlx&rank=9,True,0.925,The Hate U Give,Angie Thomas,ok
Full Disclosure,"Garrett, Camryn",38897636,https://www.goodreads.com/book/show/38897636-full-disclosure?from_search=true&from_srp=true&qid=KlPg90r9yh&rank=1,True,0.925,Full Disclosure,Camryn Garrett,ok
Touching Spirit Bear (Spirit Bear Series),"Mikaelsen, Ben",37489841,https://www.goodreads.com/book/show/37489841-touching-spirit-bear?from_search=true&from_srp=true&qid=sNGuXfUI7o&rank=1,True,0.9538,Touching Spirit Bear (Spritit Bear Series),Ben Mikaelsen,ok
"Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up","Corinna, Heather",43822305,https://www.goodreads.com/book/show/43822305-wait-what?from_search=true&from_srp=true&qid=8U2e58LYrg&rank=1,True,0.92,"Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up",Heather Corinna,ok
Beloved,"Morrison, Toni",6149,https://www.goodreads.com/book/show/6149.Beloved?from_search=true&from_srp=true&qid=2KbBho8qBs&rank=1,True,0.9423,"Beloved (Beloved Trilogy, #1)",Toni Morrison,ok
Pride: The Story of Harvey Milk and the Rainbow Flag,"Sanders, Rob",29739044,https://www.goodreads.com/book/show/29739044-pride?from_search=true&from_srp=true&qid=enNxoEvUNS&rank=1,True,0.9455,Pride: The Story of Harvey Milk and the Rainbow Flag,Rob    Sanders,ok
Blue Is the Warmest Color,"Maroh, Julie",,,False,,,,no_candidates
Unravel Me (Shatter Me Series),"Mafi, Tahereh",242256665,https://www.goodreads.com/book/show/242256665-unravel-me-paperback-deluxe-limited-edition?from_search=true&from_srp=true&qid=WaF8q78Y7Z&rank=10,True,0.4083,"Unravel Me Paperback Deluxe Limited Edition (Shatter Me: Series One, 2)",Tahereh Mafi,ok
The Benefits of Being an Octopus,"Braden, Ann",35890044,https://www.goodreads.com/book/show/35890044-the-benefits-of-being-an-octopus?from_search=true&from_srp=true&qid=HnbaHGIBvT&rank=7,True,0.94,The Benefits of Being an Octopus,Ann Braden,ok
No One Knows About You,"Montoya, Paco",59807886,https://www.goodreads.com/book/show/59807886-no-one-knows-about-you?from_search=true&from_srp=true&qid=StLgMogd0b&rank=1,True,0.9375,No One Knows About You,Paco Montoya,ok
Nineteen Minutes,"Picoult, Jodi",14866,https://www.goodreads.com/book/show/14866.Nineteen_Minutes?from_search=true&from_srp=true&qid=l0VBGozTQh&rank=2,True,0.9375,Nineteen Minutes,Jodi Picoult,ok
Me and Earl and the Dying Girl,"Andrews, Jesse",12700353,https://www.goodreads.com/book/show/12700353-me-and-earl-and-the-dying-girl?from_search=true&from_srp=true&qid=hKmYKXWlof&rank=2,True,0.9308,Me and Earl and the Dying Girl,Jesse Andrews,ok
Dreaming in Cuban,"García, Cristina",41021622,https://www.goodreads.com/book/show/41021622-dreaming-in-cuban?from_search=true&from_srp=true&qid=v8cu3HpcPq&rank=3,True,0.93,Dreaming in Cuban,Cristina García,ok
"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah",35046241,https://www.goodreads.com/book/show/35046241-queer-there-and-everywhere?from_search=true&from_srp=true&qid=bAARq4HcSa&rank=1,True,0.925,"Queer, There and Everywhere: 23 People Who Changed the World",Sarah Prager,ok
Tricks (Tricks Series),"Hopkins, Ellen",65084657,https://www.goodreads.com/book/show/65084657-tricks?from_search=true&from_srp=true&qid=GAy5xto4Lp&rank=5,True,0.9308,Tricks (Tricks Series),Ellen Hopkins,ok
"Trans+: Love, Sex, Romance, and Being You","Gonzales, Kathryn",44130829,https://www.goodreads.com/book/show/44130829-trans?from_search=true&from_srp=true&qid=pZ7KifD2o5&rank=1,True,0.925,"Trans+: Love, Sex, Romance, and Being You",Kathryn Gonzales,ok
The Family Book,"Parr, Todd",120654,https://www.goodreads.com/book/show/120654.The_Family_Book?from_search=true&from_srp=true&qid=qpNoupfyW5&rank=2,True,0.9167,The Family Book,Todd Parr,ok
I am Jazz,"Jennings, Jazz",18763344,https://www.goodreads.com/book/show/18763344-i-am-jazz?from_search=true&from_srp=true&qid=JHmyRXLkh9&rank=1,True,0.8929,I Am Jazz,Jessica Herthel,ok
Jack of Hearts (and other parts),"Rosen, L. C.",,,False,,,,no_candidates
Fun Home: A Family Tragicomic,"Bechdel, Alison",26135825,https://www.goodreads.com/book/show/26135825-fun-home?from_search=true&from_srp=true&qid=pThiZaOV3z&rank=1,True,0.925,Fun Home: A Family Tragicomic,Alison Bechdel,ok
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",4588,https://www.goodreads.com/book/show/4588.Extremely_Loud_Incredibly_Close?from_search=true&from_srp=true&qid=C5cVA4nWPn&rank=3,True,0.9625,Extremely Loud & Incredibly Close,Jonathan Safran Foer,ok
"Love, Hate & Other Filters","Ahmed, Samira",31207017,https://www.goodreads.com/book/show/31207017-love-hate-other-filters?from_search=true&from_srp=true&qid=vEbFT8MRUZ&rank=3,True,0.925,"Love, Hate & Other Filters",Samira Ahmed,ok
Doing It!: Let's Talk About Sex,"Witton, Hannah",32181998,https://www.goodreads.com/book/show/32181998-doing-it?from_search=true&from_srp=true&qid=oDFaeCTzNT&rank=1,True,0.9192,Doing It!: Let's Talk About Sex,Hannah Witton,ok
This Book Is Gay,"Dawson, Juno",22074335,https://www.goodreads.com/book/show/22074335-this-book-is-gay?from_search=true&from_srp=true&qid=PI8MR3EhIJ&rank=2,True,0.9318,This Book Is Gay,Juno  Dawson,ok
The Haters,"Andrews, Jesse",26095121,https://www.goodreads.com/book/show/26095121-the-haters?from_search=true&from_srp=true&qid=BOvp95X6vj&rank=1,True,0.9308,The Haters,Jesse Andrews,ok
grl2grl,"Peters, Julie Anne",563325,https://www.goodreads.com/book/show/563325.grl2grl?from_search=true&from_srp=true&qid=Jzndei3whd&rank=2,True,0.9382,grl2grl,Julie Anne Peters,ok
Flamer,"Curato, Mike",52751434,https://www.goodreads.com/book/show/52751434-flamer?from_search=true&from_srp=true&qid=OrpVbKrPN7&rank=2,True,0.9318,Flamer,Mike Curato,ok
A Peacock Among Pigeons,"Curry, Tyler",26716112,https://www.goodreads.com/book/show/26716112-a-peacock-among-pigeons?from_search=true&from_srp=true&qid=2uu8zjNz8q&rank=1,True,0.9182,A Peacock Among Pigeons,Tyler Curry,ok
Fifty Shades of Grey (Fifty Shades Series),"James, E. L.",134726182,https://www.goodreads.com/book/show/134726182-new-fifty-shades-of-grey-10th-anniversary-edition?from_search=true&from_srp=true&qid=qFubYskcno&rank=9,True,0.5761,"NEW-Fifty Shades of Grey 10th Anniversary Edition (Fifty Shades of Grey Series, 1)",E.L. James,ok
A Day in the Life of Marlon Bundo,"Twiss, Jill",39319227,https://www.goodreads.com/book/show/39319227-a-day-in-the-life-of-marlon-bundo?from_search=true&from_srp=true&qid=GmEqTqJVx1&rank=1,True,0.925,A Day in the Life of Marlon Bundo,Jill Twiss,ok
The Purim Superhero,"Kushner, Elisabeth",16190396,https://www.goodreads.com/book/show/16190396-the-purim-superhero?from_search=true&from_srp=true&qid=BbezCTm6j7&rank=1,True,0.9294,The Purim Superhero,Elisabeth Kushner,ok
Beautiful Bastard (Beautiful Bastard Series),"Lauren, Christina",73940067,https://www.goodreads.com/book/show/73940067-beautiful-bastard?from_search=true&from_srp=true&qid=1Q9Cj3E8As&rank=5,True,0.9344,Beautiful Bastard (The Beautiful Series Book 1),Christina Lauren,ok
All American Boys,"Reynolds, Jason",25657130,https://www.goodreads.com/book/show/25657130-all-american-boys?from_search=true&from_srp=true&qid=864BGPwOwz&rank=1,True,0.9357,All American Boys,Jason Reynolds,ok
Fates and Furies,"Groff, Lauren",24612118,https://www.goodreads.com/book/show/24612118-fates-and-furies?from_search=true&from_srp=true&qid=InGvU6TT5B&rank=4,True,0.925,Fates and Furies,Lauren Groff,ok
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",28587986,https://www.goodreads.com/book/show/28587986-being-jazz?from_search=true&from_srp=true&qid=yuxSufV09D&rank=1,True,0.9423,Being Jazz: My Life as a (Transgender) Teen,Jazz Jennings,ok
Drama: A Graphic Novel,"Telgemeier, Raina",150418259,https://www.goodreads.com/book/show/150418259-drama?from_search=true&from_srp=true&qid=zPBCIAMS2J&rank=1,True,0.9437,Drama: A Graphic Novel,Raina Telgemeier,ok
The God of Small Things,"Roy, Arundhati",9777,https://www.goodreads.com/book/show/9777.The_God_of_Small_Things?from_search=true&from_srp=true&qid=GVEV4oRHPu&rank=6,True,0.9538,The God of Small Things,Arundhati Roy,ok
The Handmaid's Tale,"Atwood, Margaret",19412853,https://www.goodreads.com/book/show/19412853-spark-notes?from_search=true&from_srp=true&qid=XmE2GtqjZn&rank=7,True,0.682,Spark Notes: The Handmaid's Tale,SparkNotes,ok
The Parker Inheritance,"Johnson, Varian",35238085,https://www.goodreads.com/book/show/35238085-the-parker-inheritance?from_search=true&from_srp=true&qid=UWcEOHI1kR&rank=3,True,0.925,The Parker Inheritance,Varian Johnson,ok
Out of Darkness,"Pérez, Ashley Hope",25256386,https://www.goodreads.com/book/show/25256386-out-of-darkness?from_search=true&from_srp=true&qid=xXSOEA7lc5&rank=1,True,0.9471,Out of Darkness,Ashley Hope Pérez,ok
The Black Friend: On Being a Better White Person,"Joseph, Frederick",48589165,https://www.goodreads.com/book/show/48589165-the-black-friend?from_search=true&from_srp=true&qid=bH4GlBQ8Og&rank=1,True,0.9344,The Black Friend: On Being a Better White Person,Frederick Joseph,ok
Caraval (Caraval Series),"Garber, Stephanie",216498257,https://www.goodreads.com/book/show/216498257-finale?from_search=true&from_srp=true&qid=RhyNoJiLlS&rank=3,True,0.4244,Finale: Caraval Series Book 3,Stephanie Garber,ok
A Court of Mist and Fury (A Court of Thorns and Roses Series),"Maas, Sarah J.",244700839,https://www.goodreads.com/book/show/244700839-a-court-of-mist-and-fury?from_search=true&from_srp=true&qid=Fnat6d9wa3&rank=2,True,0.6243,A Court of Mist and Fury: Special Anniversary Edition (The Court of Thorns and Roses Series),Sarah J. Maas,ok
Eleanor & Park,"Rowell, Rainbow",15745753,https://www.goodreads.com/book/show/15745753-eleanor-park?from_search=true&from_srp=true&qid=G5pmrLsXMO&rank=5,True,0.925,Eleanor & Park,Rainbow Rowell,ok
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",40766383,https://www.goodreads.com/book/show/40766383-the-handmaid-s-tale?from_search=true&from_srp=true&qid=viayoydzpT&rank=1,True,0.8846,The Handmaid's Tale: The Graphic Novel,Renée Nault,ok
"Mommy, Mama, and Me","Newman, Lesléa",4466383,https://www.goodreads.com/book/show/4466383-mommy-mama-and-me?from_search=true&from_srp=true&qid=uex84Gi9dO&rank=1,True,0.9192,"Mommy, Mama, and Me",Lesléa Newman,ok
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",222507,https://www.goodreads.com/book/show/222507.It_s_Perfectly_Normal?from_search=true&from_srp=true&qid=6uE2GfoQy3&rank=1,True,0.925,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Robie H. Harris,ok
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",157713404,https://www.goodreads.com/book/show/157713404-by-e-lockhart-real-live-boyfriends?from_search=true&from_srp=true&qid=gjNhsXT68E&rank=1,True,0.8964,"By E. Lockhart Real Live Boyfriends: Yes. Boyfriends, plural. If my life weren't complicated, I wouldn't be Ruby Ol",E. Lockhart,ok
How Beautiful We Were,"Mbue, Imbolo",51794532,https://www.goodreads.com/book/show/51794532-how-beautiful-we-were?from_search=true&from_srp=true&qid=AdsMoLE0iA&rank=2,True,0.9318,How Beautiful We Were,Imbolo Mbue,ok
And Tango Makes Three,"Richardson, Justin",117997,https://www.goodreads.com/book/show/117997.And_Tango_Makes_Three?from_search=true&from_srp=true&qid=aFhR11VkL7&rank=1,True,0.9382,And Tango Makes Three,Justin Richardson,ok
Fly on the Wall: How One Girl Saw Everything,"Lockhart, E.",568570,https://www.goodreads.com/book/show/568570.Fly_on_the_Wall?from_search=true&from_srp=true&qid=wffzwx1RDx&rank=1,True,0.97,Fly on the Wall: How One Girl Saw Everything,E. Lockhart,ok
Call Me Max (Max and Friends Series),"Lukoff, Kyle",,,False,,,,no_candidates
"Sex Plus: Learning, Loving, and Enjoying Your Body","Green, Laci",35430032,https://www.goodreads.com/book/show/35430032-sex-plus?from_search=true&from_srp=true&qid=juiaxth5By&rank=1,True,0.925,"Sex Plus: Learning, Loving, and Enjoying Your Body",Laci Green,ok
Two Boys Kissing,"Levithan, David",138843202,https://www.goodreads.com/book/show/138843202-two-boys-kissing-by-david-levithan?from_search=true&from_srp=true&qid=LhUKUyJtO3&rank=1,True,0.6297,Two Boys Kissing by David Levithan (2015-05-12),David Levithan,ok
Speak,"Anderson, Laurie Halse",39280444,https://www.goodreads.com/book/show/39280444-speak?from_search=true&from_srp=true&qid=iRJ1EKVjpR&rank=1,True,0.9357,Speak,Laurie Halse Anderson,ok
The Perks of Being a Wallflower,"Chbosky, Stephen",22628,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower?from_search=true&from_srp=true&qid=EhgCGO9lyb&rank=2,True,0.92,The Perks of Being a Wallflower,Stephen Chbosky,ok
Dead Until Dark (Sookie Stackhouse Series),"Harris, Charlaine",127892250,https://www.goodreads.com/book/show/127892250-dead-until-dark-sookie-stackhouse-southern-vampire-series-1-true-b?from_search=true&from_srp=true&qid=XPN4TWpL3O&rank=1,True,0.5944,Dead until Dark (Sookie Stackhouse / Southern Vampire Series #1) (True Blood) by Charlaine Harris,Charlaine Harris,ok
"Sex is a Funny Word: A Book about Bodies, Feelings, and YOU","Silverberg, Cory",22889878,https://www.goodreads.com/book/show/22889878-sex-is-a-funny-word?from_search=true&from_srp=true&qid=snIAONF12p&rank=1,True,0.95,"Sex Is a Funny Word: A Book about Bodies, Feelings, and YOU",Cory Silverberg,ok
The Circle (The Circle Series),"Eggers, Dave",19507458,https://www.goodreads.com/book/show/19507458-the-circle?from_search=true&from_srp=true&qid=rYcFMXM6jk&rank=1,True,0.9318,The Circle (Thorndike Press Large Print Basic Series),Dave Eggers,ok
Two Dads: A Book About Adopton,"Robertson, Carolyn",,,False,,,,no_candidates
More Happy Than Not,"Silvera, Adam",19542841,https://www.goodreads.com/book/show/19542841-more-happy-than-not?from_search=true&from_srp=true&qid=So2sxHq2Eu&rank=3,True,0.9375,More Happy Than Not,Adam Silvera,ok
Blended,"Draper, Sharon M.",38351370,https://www.goodreads.com/book/show/38351370-blended?from_search=true&from_srp=true&qid=dMUJqzqOWy&rank=1,True,0.93,Blended,Sharon M. Draper,ok
Let Me Hear a Rhyme,"Jackson, Tiffany D.",36285129,https://www.goodreads.com/book/show/36285129-let-me-hear-a-rhyme?from_search=true&from_srp=true&qid=qjx2TcQZXk&rank=1,True,0.9294,Let Me Hear a Rhyme,Tiffany D. Jackson,ok
Killing Mr. Griffin,"Duncan, Lois",510632,https://www.goodreads.com/book/show/510632.Killing_Mr_Griffin?from_search=true&from_srp=true&qid=PlQzkZYPnU&rank=1,True,0.9318,Killing Mr. Griffin,Lois Duncan,ok
The Vincent Boys (The Vincent Boys Series),"Glines, Abbi",51813180,https://www.goodreads.com/book/show/51813180-abbi-glines---series-checklist---reading-order-of-sea-breeze-existence?from_search=true&from_srp=true&qid=FbHoeWoJ8B&rank=1,True,0.1423,"Abbi Glines - SERIES CHECKLIST - Reading Order of SEA BREEZE, EXISTENCE TRILOGY, VINCENT BOYS, ROSEMARY BEACH, FIELD PARTY, ONCE SHE DREAMED, SEA BREEZE MEETS ROSEMARY BEACH, SOUTH OF THE MA",Ronnie Whitlock,ok
Daddy's Roommate,"Willhoite, Michael",791133,https://www.goodreads.com/book/show/791133.Daddy_s_Roommate?from_search=true&from_srp=true&qid=iCy8mKwLFh&rank=1,True,0.9294,Daddy's Roommate,Michael Willhoite,ok
S.E.X.: The All-You-Need-To-Know Progressive Sexuality Guide to Get You Through High School and College,"Corinna, Heather",,,False,,,,no_candidates
The Scottsboro Boys,"Haskins, James",899098,https://www.goodreads.com/book/show/899098.The_Scottsboro_Boys?from_search=true&from_srp=true&qid=ny1MDitWNQ&rank=1,True,0.9308,The Scottsboro Boys,James Haskins,ok
This One Summer,"Tamaki, Mariko",18465566,https://www.goodreads.com/book/show/18465566-this-one-summer?from_search=true&from_srp=true&qid=868TzLlr9c&rank=1,True,0.9192,This One Summer,Mariko Tamaki,ok
"Girl, Woman, Other","Evaristo, Bernardine",41081373,https://www.goodreads.com/book/show/41081373-girl-woman-other?from_search=true&from_srp=true&qid=zWWlBFpN9s&rank=4,True,0.9289,"Girl, Woman, Other",Bernardine Evaristo,ok
Normal People,"Rooney, Sally",41057294,https://www.goodreads.com/book/show/41057294-normal-people?from_search=true&from_srp=true&qid=nJzCM15aMu&rank=3,True,0.925,Normal People,Sally Rooney,ok
Uglies (Uglies Series),"Westerfeld, Scott",212430456,https://www.goodreads.com/book/show/212430456-uglies?from_search=true&from_srp=true&qid=zzWuh71sYh&rank=8,True,0.9437,Uglies (The Uglies Series),Scott Westerfeld,ok
American Born Chinese,"Yang, Gene Luen",118944,https://www.goodreads.com/book/show/118944.American_Born_Chinese?from_search=true&from_srp=true&qid=oY32nK03CF&rank=1,True,0.9464,American Born Chinese,Gene Luen Yang,ok
Triangles,"Hopkins, Ellen",10843755,https://www.goodreads.com/book/show/10843755-triangles?from_search=true&from_srp=true&qid=b7C0alY425&rank=1,True,0.9308,Triangles,Ellen Hopkins,ok
Discovering Wes Moore,"Moore, Wes",13262760,https://www.goodreads.com/book/show/13262760-discovering-wes-moore?from_search=true&from_srp=true&qid=RYYwibRFT3&rank=2,True,0.9333,Discovering Wes Moore,Wes  Moore,ok
Dear Martin,"Stone, Nic",24974996,https://www.goodreads.com/book/show/24974996-dear-martin?from_search=true&from_srp=true&qid=MtwIMSrm2G&rank=4,True,0.9333,"Dear Martin (Dear Martin, #1)",Nic Stone,ok
What Girls Are Made Of,"Arnold, Elana K.",29401474,https://www.goodreads.com/book/show/29401474-what-girls-are-made-of?from_search=true&from_srp=true&qid=bnRCKZi1ZU&rank=1,True,0.925,What Girls Are Made Of,Elana K. Arnold,ok
Monday's Not Coming,"Jackson, Tiffany D.",35068534,https://www.goodreads.com/book/show/35068534-monday-s-not-coming?from_search=true&from_srp=true&qid=SvM4uquhUa&rank=1,True,0.9294,Monday's Not Coming,Tiffany D. Jackson,ok
Almost Perfect,"Katcher, Brian",238085103,https://www.goodreads.com/book/show/238085103-almost-perfect-by-brian-katcher?from_search=true&from_srp=true&qid=oZRICY0ktj&rank=2,True,0.6097,Almost Perfect by Brian Katcher (2009-10-13),Brian Katcher,ok
Melissa (George),"Gino, Alex",24612624,https://www.goodreads.com/book/show/24612624-melissa?from_search=true&from_srp=true&qid=bazWJNjfPD&rank=1,True,0.9167,Melissa,Alex  Gino,ok
Worm Loves Worm,"Austrian, J.J.",25027836,https://www.goodreads.com/book/show/25027836-worm-loves-worm?from_search=true&from_srp=true&qid=6zumwG18Cv&rank=1,True,0.95,Worm Loves Worm,J.J. Austrian,ok
The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,"Testa, Rylan Jay",,,False,,,,no_candidates
Lola Levine and the Ballet Scheme (Lola Levine Series),"Brown, Monica",,,False,,,,no_candidates
We March,"Evans, Shane W.",12220009,https://www.goodreads.com/book/show/12220009-we-march?from_search=true&from_srp=true&qid=xUZa1fm4Hc&rank=1,True,0.9308,We March,Shane W. Evans,ok
Morris Micklewhite and the Tangerine Dress,"Baldacchino, Christine",18406836,https://www.goodreads.com/book/show/18406836-morris-micklewhite-and-the-tangerine-dress?from_search=true&from_srp=true&qid=DrC5QYrxP4&rank=1,True,0.9286,Morris Micklewhite and the Tangerine Dress,Christine  Baldacchino,ok
How We Fight White Supremacy,"Solomon, Akiba",40697594,https://www.goodreads.com/book/show/40697594-how-we-fight-white-supremacy?from_search=true&from_srp=true&qid=ycVSBM32eP&rank=1,True,0.9308,How We Fight White Supremacy,Akiba Solomon,ok
Lola at the Library with Mommy (Lola Series),"McQuinn, Anna",,,False,,,,no_candidates
Yasmin the Zookeeper (Yasmin Series),"Faruqi, Saadia",,,False,,,,no_candidates
All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color,"Kissinger, Katie",50564,https://www.goodreads.com/book/show/50564.All_the_Colors_We_Are?from_search=true&from_srp=true&qid=EwMQygY0o3&rank=1,True,0.94,All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color,Katie Kissinger,ok
Lola Levine Is Not Mean! (Lola Levine Series),"Brown, Monica",,,False,,,,no_candidates
Who Was Lucille Ball? (Who was...? Series),"Pollack, Pam",,,False,,,,no_candidates
Who Was Maria Tallchief? (Who was...? Series),"Gourley, Catherine",,,False,,,,no_candidates
Each Kindness,"Woodson, Jacqueline",13588082,https://www.goodreads.com/book/show/13588082-each-kindness?from_search=true&from_srp=true&qid=yZ7LPKaJ5U&rank=1,True,0.9333,Each Kindness,Jacqueline Woodson,ok
What Were the Negro Leagues? (What was...? Series),"Johnson, Varian",,,False,,,,no_candidates
This Is My America,"Johnson, Kim",52855111,https://www.goodreads.com/book/show/52855111-this-is-my-america?from_search=true&from_srp=true&qid=r1wRC7iedC&rank=2,True,0.9455,This Is My America,Kim  Johnson,ok
"I am Martin Luther King, Jr.","Meltzer, Brad",25361883,https://www.goodreads.com/book/show/25361883-i-am-martin-luther-king-jr?from_search=true&from_srp=true&qid=XNvmH2tqSj&rank=1,True,0.9375,"I am Martin Luther King, Jr.",Brad Meltzer,ok
How to Be an Antiracist,"Kendi, Ibram X.",40265832,https://www.goodreads.com/book/show/40265832-how-to-be-an-antiracist?from_search=true&from_srp=true&qid=AdfS3bAYWv&rank=1,True,0.9308,How to Be an Antiracist,Ibram X. Kendi,ok
Always my Dad,"Wyeth, Sharon Dennis",2658705,https://www.goodreads.com/book/show/2658705-always-my-dad?from_search=true&from_srp=true&qid=nHdzsst6IW&rank=1,True,0.9526,Always My Dad,Sharon Dennis Wyeth,ok
