book_title,author,goodreads_id,goodreads_url,found,search_query,avg_rating,rating_count,review_count,want_to_read,dist_5_star,dist_4_star,dist_3_star,dist_2_star,dist_1_star
Into the Garden,"Andrews, V. C.",639750.0,https://www.goodreads.com/book/show/639750.Into_the_Garden?from_search=true&from_srp=true&qid=ENUlcwbAQc&rank=1,True,"Into the Garden Andrews, V. C.",3.85,4176,,,"1,465 (35%)","1,186 (28%)","1,067 (25%)",366 (8%),92 (2%)
The Human Stain,"Roth, Philip",11734.0,https://www.goodreads.com/book/show/11734.The_Human_Stain?from_search=true&from_srp=true&qid=ndm1A38lPW&rank=1,True,"The Human Stain Roth, Philip",3.92,45841,,,"14,332 (31%)","18,079 (39%)","9,804 (21%)","2,678 (5%)",948 (2%)
All Boys Aren't Blue,"Johnson, George M.",44280883.0,https://www.goodreads.com/book/show/44280883-all-boys-aren-t-blue?from_search=true&from_srp=true&qid=rY9y9oN9rN&rank=1,True,"All Boys Aren't Blue Johnson, George M.",4.18,47209,,,"18,864 (39%)","19,991 (42%)","6,882 (14%)","1,130 (2%)",342 (<1%)
Damsel,"Arnold, Elana K.",36260155.0,https://www.goodreads.com/book/show/36260155-damsel?from_search=true&from_srp=true&qid=1kvelJ6VwI&rank=1,True,"Damsel Arnold, Elana K.",3.30,11499,,,"2,099 (18%)","3,339 (29%)","3,117 (27%)","1,746 (15%)","1,198 (10%)"
"Heartstopper, Vol. 1","Oseman, Alice",199014264.0,https://www.goodreads.com/book/show/199014264-heartstopper-vol-1---collector-s-edition?from_search=true&from_srp=true&qid=PTuRiYjmjb&rank=1,True,"Heartstopper, Vol. 1 Oseman, Alice",4.42,888234,,,"522,896 (58%)","249,520 (28%)","88,275 (9%)","17,773 (2%)","9,770 (1%)"
"Heartstopper, Vol. 2","Oseman, Alice",199339487.0,https://www.goodreads.com/book/show/199339487-heartstopper-vol-2---collector-s-edition?from_search=true&from_srp=true&qid=dqXnaH7iJp&rank=1,True,"Heartstopper, Vol. 2 Oseman, Alice",4.51,568637,,,"355,962 (62%)","158,212 (27%)","45,146 (7%)","6,459 (1%)","2,858 (<1%)"
"Heartstopper, Vol. 3","Oseman, Alice",200033939.0,https://www.goodreads.com/book/show/200033939-heartstopper-vol-3---collector-s-edition?from_search=true&from_srp=true&qid=nCql3g2gII&rank=1,True,"Heartstopper, Vol. 3 Oseman, Alice",4.54,498587,,,"321,455 (64%)","133,181 (26%)","37,137 (7%)","5,081 (1%)","1,733 (<1%)"
"Heartstopper, Vol. 4","Oseman, Alice",200626696.0,https://www.goodreads.com/book/show/200626696-heartstopper-vol-4---collector-s-edition?from_search=true&from_srp=true&qid=gTT4Yx5qww&rank=1,True,"Heartstopper, Vol. 4 Oseman, Alice",4.57,441672,,,"296,231 (67%)","109,643 (24%)","29,897 (6%)","4,455 (1%)","1,446 (<1%)"
"Heartstopper, Vol. 5","Oseman, Alice",125704697.0,https://www.goodreads.com/book/show/125704697-heartstopper-vol-5?from_search=true&from_srp=true&qid=yD5EzuufJy&rank=1,True,"Heartstopper, Vol. 5 Oseman, Alice",4.46,197245,,,"115,314 (58%)","61,147 (31%)","17,621 (8%)","2,421 (1%)",742 (<1%)
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",29010395.0,https://www.goodreads.com/book/show/29010395-i-am-not-your-perfect-mexican-daughter?from_search=true&from_srp=true&qid=AFYChuP0FU&rank=1,True,"I Am Not Your Perfect Mexican Daughter Sánchez, Erika L.",4.00,83490,,,"27,455 (32%)","34,426 (41%)","17,036 (20%)","3,561 (4%)","1,012 (1%)"
Last Night at the Telegraph Club,"Lo, Malinda",81071294.0,https://www.goodreads.com/book/show/81071294-study-guide?from_search=true&from_srp=true&qid=QjwuVbYXII&rank=1,True,"Last Night at the Telegraph Club Lo, Malinda",3.25,4,,,1 (25%),0 (0%),2 (50%),1 (25%),0 (0%)
Out of Darkness,"Pérez, Ashley Hope",25256386.0,https://www.goodreads.com/book/show/25256386-out-of-darkness?from_search=true&from_srp=true&qid=pStKekrkCf&rank=1,True,"Out of Darkness Pérez, Ashley Hope",4.14,8731,,,"3,666 (41%)","3,348 (38%)","1,197 (13%)",337 (3%),183 (2%)
People Kill People,"Hopkins, Ellen",38355061.0,https://www.goodreads.com/book/show/38355061-people-kill-people?from_search=true&from_srp=true&qid=wBr7W0sMCr&rank=1,True,"People Kill People Hopkins, Ellen",3.87,7035,,,"2,240 (31%)","2,454 (34%)","1,689 (24%)",470 (6%),182 (2%)
The Brief Wondrous Life of Oscar Wao,"Díaz, Junot",25576654.0,https://www.goodreads.com/book/show/25576654-summary-study-guide-the-brief-wondrous-life-of-oscar-wao-by-junot-d-az?from_search=true&from_srp=true&qid=6nwUHB5T7F&rank=1,True,"The Brief Wondrous Life of Oscar Wao Díaz, Junot",4.11,18,,,8 (44%),5 (27%),4 (22%),1 (5%),0 (0%)
The Handmaid's Tale,"Atwood, Margaret",38448.0,https://www.goodreads.com/book/show/38448.The_Handmaid_s_Tale_By_Margaret_Atwood?from_search=true&from_srp=true&qid=N0uaQrfTdf&rank=1,True,"The Handmaid's Tale Atwood, Margaret",3.79,96,,,32 (33%),32 (33%),20 (20%),4 (4%),8 (8%)
