book_title,challenge_reasons,num_reasons,primary_reason
Sloppy Firsts (Jessica Darling Series),Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Outlander (Outlander Series),Sexual or romantic content; Violence & mature themes,2,Sexual or romantic content
Gender Queer: A Memoir,LGBTQ+ identity & sexuality; Mental health & trauma; Sexual or romantic content,3,LGBTQ+ identity & sexuality
The Family Fletcher Takes Rock Island (Family Fletcher Series),Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Thirteen Reasons Why,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
The Truth About Alice: A Novel,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Looking for Alaska,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Out of Darkness,Age-appropriateness concerns; Race & systemic inequality; Sexual or romantic content,3,Age-appropriateness concerns
I Am Not Your Perfect Mexican Daughter,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Milk and Honey,Gender politics & feminism; Mental health & trauma; Sexual or romantic content; Violence & mature themes,4,Gender politics & feminism
Life is Funny,Age-appropriateness concerns,1,Age-appropriateness concerns
The Bluest Eye,Race & systemic inequality,1,Race & systemic inequality
All Boys Aren't Blue,LGBTQ+ identity & sexuality; Mental health & trauma; Sexual or romantic content,3,LGBTQ+ identity & sexuality
The Absolutely True Diary of a Part-Time Indian,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Home at Last,Age-appropriateness concerns,1,Age-appropriateness concerns
The Kite Runner,,0,Uncategorized
Celebrate Your Body 2: The Ultimate Puberty Book for Preteen and Teen Girls,Sexual or romantic content,1,Sexual or romantic content
Piecing Me Together,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Duels and Deception,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Forbidden,Age-appropriateness concerns; Sexual or romantic content; Violence & mature themes,3,Age-appropriateness concerns
This Day in June,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Forever...,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Everywhere Babies,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
The Hate U Give,Age-appropriateness concerns; Mental health & trauma; Race & systemic inequality; Violence & mature themes,4,Age-appropriateness concerns
Full Disclosure,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Touching Spirit Bear (Spirit Bear Series),Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
"Wait, What?: A Comic Book Guide to Relationships, Bodies, and Growing Up",Sexual or romantic content,1,Sexual or romantic content
Beloved,Race & systemic inequality; Sexual or romantic content,2,Race & systemic inequality
Pride: The Story of Harvey Milk and the Rainbow Flag,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Blue Is the Warmest Color,LGBTQ+ identity & sexuality; Sexual or romantic content,2,LGBTQ+ identity & sexuality
Unravel Me (Shatter Me Series),Age-appropriateness concerns; Sexual or romantic content; Violence & mature themes,3,Age-appropriateness concerns
The Benefits of Being an Octopus,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
No One Knows About You,,0,Uncategorized
Nineteen Minutes,Mental health & trauma; Violence & mature themes,2,Mental health & trauma
Me and Earl and the Dying Girl,Age-appropriateness concerns,1,Age-appropriateness concerns
Dreaming in Cuban,,0,Uncategorized
"Queer, There and Everywhere: 23 People Who Changed the World",LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Tricks (Tricks Series),Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma; Sexual or romantic content,4,Age-appropriateness concerns
"Trans+: Love, Sex, Romance, and Being You",LGBTQ+ identity & sexuality; Mental health & trauma; Sexual or romantic content,3,LGBTQ+ identity & sexuality
The Family Book,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
I am Jazz,Age-appropriateness concerns; Gender politics & feminism; LGBTQ+ identity & sexuality,3,Age-appropriateness concerns
Jack of Hearts (and other parts),Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Fun Home: A Family Tragicomic,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Extremely Loud & Incredibly Close,,0,Uncategorized
"Love, Hate & Other Filters",Age-appropriateness concerns,1,Age-appropriateness concerns
Doing It!: Let's Talk About Sex,Gender politics & feminism; LGBTQ+ identity & sexuality; Mental health & trauma; Sexual or romantic content,4,Gender politics & feminism
This Book Is Gay,LGBTQ+ identity & sexuality; Sexual or romantic content,2,LGBTQ+ identity & sexuality
The Haters,Age-appropriateness concerns,1,Age-appropriateness concerns
grl2grl,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Flamer,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
A Peacock Among Pigeons,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Fifty Shades of Grey (Fifty Shades Series),Sexual or romantic content,1,Sexual or romantic content
A Day in the Life of Marlon Bundo,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
The Purim Superhero,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Beautiful Bastard (Beautiful Bastard Series),,0,Uncategorized
All American Boys,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Fates and Furies,Sexual or romantic content,1,Sexual or romantic content
Being Jazz: My Life as a (Transgender) Teen,LGBTQ+ identity & sexuality; Mental health & trauma,2,LGBTQ+ identity & sexuality
Drama: A Graphic Novel,Age-appropriateness concerns,1,Age-appropriateness concerns
The God of Small Things,,0,Uncategorized
The Handmaid's Tale,Gender politics & feminism; Violence & mature themes,2,Gender politics & feminism
The Parker Inheritance,Age-appropriateness concerns,1,Age-appropriateness concerns
The Black Friend: On Being a Better White Person,Race & systemic inequality,1,Race & systemic inequality
Caraval (Caraval Series),Age-appropriateness concerns,1,Age-appropriateness concerns
A Court of Mist and Fury (A Court of Thorns and Roses Series),Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Eleanor & Park,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
The Handmaid's Tale: The Graphic Novel,Gender politics & feminism; Violence & mature themes,2,Gender politics & feminism
"Mommy, Mama, and Me",Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma; Sexual or romantic content,4,Age-appropriateness concerns
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Age-appropriateness concerns,1,Age-appropriateness concerns
How Beautiful We Were,Race & systemic inequality,1,Race & systemic inequality
And Tango Makes Three,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Fly on the Wall: How One Girl Saw Everything,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Call Me Max (Max and Friends Series),,0,Uncategorized
"Sex Plus: Learning, Loving, and Enjoying Your Body",LGBTQ+ identity & sexuality; Sexual or romantic content,2,LGBTQ+ identity & sexuality
Two Boys Kissing,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Speak,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
The Perks of Being a Wallflower,Age-appropriateness concerns; Mental health & trauma; Sexual or romantic content,3,Age-appropriateness concerns
Dead Until Dark (Sookie Stackhouse Series),Sexual or romantic content,1,Sexual or romantic content
"Sex is a Funny Word: A Book about Bodies, Feelings, and YOU",Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
The Circle (The Circle Series),Violence & mature themes,1,Violence & mature themes
Two Dads: A Book About Adopton,LGBTQ+ identity & sexuality; Sexual or romantic content,2,LGBTQ+ identity & sexuality
More Happy Than Not,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Blended,Age-appropriateness concerns,1,Age-appropriateness concerns
Let Me Hear a Rhyme,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Killing Mr. Griffin,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
The Vincent Boys (The Vincent Boys Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Daddy's Roommate,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
S.E.X.: The All-You-Need-To-Know Progressive Sexuality Guide to Get You Through High School and College,Gender politics & feminism; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Gender politics & feminism
The Scottsboro Boys,,0,Uncategorized
This One Summer,Age-appropriateness concerns,1,Age-appropriateness concerns
"Girl, Woman, Other",Gender politics & feminism; LGBTQ+ identity & sexuality,2,Gender politics & feminism
Normal People,Age-appropriateness concerns,1,Age-appropriateness concerns
Uglies (Uglies Series),Age-appropriateness concerns; Sexual or romantic content; Violence & mature themes,3,Age-appropriateness concerns
American Born Chinese,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Triangles,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Discovering Wes Moore,Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
Dear Martin,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
What Girls Are Made Of,Age-appropriateness concerns; Gender politics & feminism; Sexual or romantic content; Violence & mature themes,4,Age-appropriateness concerns
Monday's Not Coming,Age-appropriateness concerns; Mental health & trauma; Violence & mature themes,3,Age-appropriateness concerns
Almost Perfect,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Melissa (George),Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Worm Loves Worm,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,Gender politics & feminism; LGBTQ+ identity & sexuality; Mental health & trauma; Sexual or romantic content,4,Gender politics & feminism
Lola Levine and the Ballet Scheme (Lola Levine Series),Age-appropriateness concerns,1,Age-appropriateness concerns
We March,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Morris Micklewhite and the Tangerine Dress,Age-appropriateness concerns; Gender politics & feminism; LGBTQ+ identity & sexuality,3,Age-appropriateness concerns
How We Fight White Supremacy,Race & systemic inequality,1,Race & systemic inequality
Lola at the Library with Mommy (Lola Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Yasmin the Zookeeper (Yasmin Series),Age-appropriateness concerns,1,Age-appropriateness concerns
All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color,Age-appropriateness concerns,1,Age-appropriateness concerns
Lola Levine Is Not Mean! (Lola Levine Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Who Was Lucille Ball? (Who was...? Series),Age-appropriateness concerns; Gender politics & feminism,2,Age-appropriateness concerns
Who Was Maria Tallchief? (Who was...? Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Each Kindness,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
What Were the Negro Leagues? (What was...? Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
This Is My America,Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
"I am Martin Luther King, Jr.",Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
How to Be an Antiracist,Race & systemic inequality,1,Race & systemic inequality
Always my Dad,Age-appropriateness concerns,1,Age-appropriateness concerns
"47,000 Beads",,0,Uncategorized
25 Women Who Ruled,,0,Uncategorized
Pushout: The Criminalization of Black Girls in Schools,,0,Uncategorized
Before John Was a Jazz Giant: A Song of John Coltrane,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
One Green Apple,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
"Mission Star-Power (Jaden Toussaint, the Greatest Series)",Age-appropriateness concerns,1,Age-appropriateness concerns
All the World,Age-appropriateness concerns,1,Age-appropriateness concerns
Hey Black Child,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Yasmin the Fashionista (Yasmin Series),Age-appropriateness concerns,1,Age-appropriateness concerns
No Mirrors in My Nana's House: Musical CD and Book,Age-appropriateness concerns,1,Age-appropriateness concerns
Because,Age-appropriateness concerns,1,Age-appropriateness concerns
"Jasmine Toguchi, Drummer Girl (Jasmine Toguchi Series)",Age-appropriateness concerns,1,Age-appropriateness concerns
Team BFF: Race to the Finish! (Girls Who Code Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Hands Up!,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
The Power of One: Every Act of Kindness Counts,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Yasmin the Friend (Yasmin Series),Age-appropriateness concerns,1,Age-appropriateness concerns
The Art of Critical Pedagogy: Possibilities for Moving from Theory to Practice in Urban Schools,Race & systemic inequality,1,Race & systemic inequality
King & Kayla and the Case of the Lost Tooth (King & Kayla Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Lola Loves Stories with Daddy (Lola Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Ghost Boys,Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
As Fast as Words Could Fly,Race & systemic inequality,1,Race & systemic inequality
My Family Adventure (Sofía Martínez Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Harvesting Hope: The Story of Cesar Chavez,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
"Daddy, There's A Noise Outside",Violence & mature themes,1,Violence & mature themes
Michelle,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Who Wants I Scream? (Desmond Cole Ghost Patrol Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Planet Omar: Unexpected Super Spy (Planet Omar Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Exquisite: The Poetry and Life of Gwendolyn Brooks,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Ada Byron Lovelace and the Thinking Machine,Age-appropriateness concerns,1,Age-appropriateness concerns
Saturday,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Culturally Sustaining Pedagogies: Teaching and Learning for Justice in a Changing World,Race & systemic inequality,1,Race & systemic inequality
Mindy Kim and the Birthday Puppy (Mindy Kim Series),Age-appropriateness concerns,1,Age-appropriateness concerns
"Reparations, Yes!: The Legal And Political Reasons Why New Afrikans, Black People In North America, Should Be Paid Now For The Enslavement Of Our Ancestors",,0,Uncategorized
Rainbow Revolutionaries: Fifty LGBTQ+ People Who Made History,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Shopping Trip Trouble (Sofía Martínez Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Another,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
"Ghosts Don't Ride Bikes, Do They? (Desmond Cole Ghost Patrol Series)",Age-appropriateness concerns,1,Age-appropriateness concerns
"Same, Same But Different",Age-appropriateness concerns,1,Age-appropriateness concerns
"Big Hair, Don't Care",Age-appropriateness concerns,1,Age-appropriateness concerns
The Sleepwalking Snowman (Desmond Cole Ghost Patrol Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Lola Plants a Garden (Lola Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Jabari Jumps (Jabari Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Peanut Goes for the Gold,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Every Day Is Exciting (Sofía Martínez Series),Age-appropriateness concerns,1,Age-appropriateness concerns
A is for Activist,Age-appropriateness concerns; Gender politics & feminism; LGBTQ+ identity & sexuality; Race & systemic inequality,4,Age-appropriateness concerns
"Jasmine Toguchi, Mochi Queen (Jasmine Toguchi Series)",Age-appropriateness concerns,1,Age-appropriateness concerns
Lulu and the Duck in the Park (Lulu Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Max and the Tag-Along Moon,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Counting on Katherine: How Katherine Johnson Saved Apollo 13,Age-appropriateness concerns,1,Age-appropriateness concerns
Faces at the Bottom of the Well: The Permanence of Racism,Race & systemic inequality,1,Race & systemic inequality
Ramadan Around The World,Age-appropriateness concerns,1,Age-appropriateness concerns
Cultivating Genius: An Equity Framework for Culturally and Historically Responsive Literacy,Race & systemic inequality,1,Race & systemic inequality
Ghouls Just Want to Have Fun (Desmond Cole Ghost Patrol Series),,0,Uncategorized
Monster Trouble!,Age-appropriateness concerns,1,Age-appropriateness concerns
How Many Stars in the Sky?,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
My Family Plays Music,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
"Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)",Age-appropriateness concerns,1,Age-appropriateness concerns
White Fragility: Why It's So Hard for White People to Talk About Racism,Race & systemic inequality,1,Race & systemic inequality
"Culturally and Linguistically Responsive Teaching and Learning – Classroom Practices for Student Success, Grades K-12",,0,Uncategorized
Alma and How She Got Her Name,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Trombone Shorty,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Chasing Space Young Readers' Edition,,0,Uncategorized
WeirDo Series: WeirDo,Age-appropriateness concerns,1,Age-appropriateness concerns
Rap a Tap Tap: Here's Bojangles - Think of That!,Age-appropriateness concerns,1,Age-appropriateness concerns
African American Cowboys: True Heroes Of The Old West,,0,Uncategorized
Nelson Beats The Odds,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
"The Book Itch: Freedom, Truth & Harlem's Greatest Bookstore",Age-appropriateness concerns,1,Age-appropriateness concerns
Leila in Saffron,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
The Story of Rap,Age-appropriateness concerns,1,Age-appropriateness concerns
Yasmin the Librarian (Yasmin Series),Age-appropriateness concerns,1,Age-appropriateness concerns
The Marigold Mess (Sofía Martínez Series),Age-appropriateness concerns,1,Age-appropriateness concerns
The Name Jar,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Race & systemic inequality,3,Age-appropriateness concerns
I'm a Pretty Little Black Girl!,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
King & Kayla and the Case of the Mysterious Mouse (King & Kayla Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Lola Loves Stories (Lola Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Subtractive Schooling: U.S.-Mexican Youth and the Politics of Caring,Race & systemic inequality,1,Race & systemic inequality
¿De Dónde Eres?/Where Are You From?,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
"The Quest for Screen Time (Jaden Toussaint, the Greatest Series)",,0,Uncategorized
King & Kayla and the Case of the Missing Dog Treats (King & Kayla Series),Age-appropriateness concerns,1,Age-appropriateness concerns
WeirDo Series: Hopping Weird!,Age-appropriateness concerns,1,Age-appropriateness concerns
"Grandpa Cacao: A Tale of Chocolate, from Farm to Family",Age-appropriateness concerns,1,Age-appropriateness concerns
Encounter,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Esta bien ser diferente/It's Okay to Be Different (Spanish Version),Age-appropriateness concerns; LGBTQ+ identity & sexuality; Race & systemic inequality,3,Age-appropriateness concerns
"Muffin Wars (Jaden Toussaint, the Greatest Series)",,0,Uncategorized
Spotlight on Coding Club! (Girls Who Code Series),Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Come with Me,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Who Was Maya Angelou? (Who was...? Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
The Sunday Outing,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Lola Levine Meets Jelly and Bean (Lola Levine Series),Age-appropriateness concerns,1,Age-appropriateness concerns
An Indigenous Peoples' History of the United States,Race & systemic inequality,1,Race & systemic inequality
Who Was Cesar Chavez? (Who was...? Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
When Stars Are Scattered,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Race & systemic inequality,1,Race & systemic inequality
Lovely,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Race & systemic inequality,3,Age-appropriateness concerns
Catching the Moon: The Story of a Young Girl's Baseball Dream,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
"Black Appetite. White Food.: Issues of Race, Voice, and Justice Within and Beyond the Classroom",Race & systemic inequality,1,Race & systemic inequality
"Brand New School, Brave New Ruby (Ruby and the Booker Boys Series)",Age-appropriateness concerns,1,Age-appropriateness concerns
"Transformative Ethnic Studies in Schools: Curriculum, Pedagogy, and Research",Race & systemic inequality,1,Race & systemic inequality
"Attack of the Swamp Thing (Jaden Toussaint, the Greatest Series)",,0,Uncategorized
"Sofia Valdez, Future Prez (Questioneers Picture Books Series)",Age-appropriateness concerns,1,Age-appropriateness concerns
"Pele, King of Soccer/Pele, El rey del futbol: Bilingual Spanish-English",Age-appropriateness concerns,1,Age-appropriateness concerns
Fry Bread: A Native American Family Story,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
IntersectionAllies: We Make Room for All,,0,Uncategorized
You Matter,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Say Something,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Stamped from the Beginning: The Definitive History of Racist Ideas in America,Race & systemic inequality,1,Race & systemic inequality
Who Are Venus and Serena Williams? (What was...? Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Can We Talk about Race?: And Other Conversations in an Era of School Resegregation,Race & systemic inequality; Sexual or romantic content,2,Race & systemic inequality
Who Is Derek Jeter? (Who was...? Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Niño Wrestles the World (Niño Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Clap When You Land,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
The Other Side,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Yasmin the Scientist (Yasmin Series),Age-appropriateness concerns,1,Age-appropriateness concerns
WeirDo Series: Splashy Weird!,Age-appropriateness concerns,1,Age-appropriateness concerns
WeirDo Series: Weirdomania!,Age-appropriateness concerns,1,Age-appropriateness concerns
Hair Love,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Planet Omar: Epic Hero Flop (Planet Omar Series),Age-appropriateness concerns,1,Age-appropriateness concerns
WeirDo Series: Even Weirder!,Age-appropriateness concerns,1,Age-appropriateness concerns
Condoleezza Rice: Being the Best (Gateway Biographies),Age-appropriateness concerns,1,Age-appropriateness concerns
Pink Is for Boys,Age-appropriateness concerns,1,Age-appropriateness concerns
Singing Superstar (Sofía Martínez Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Smoky Night,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Fishing Day,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Who Was Frida Kahlo? (Who was...? Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Amazing Grace (Grace Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Julián Is a Mermaid (Julián Series),Age-appropriateness concerns,1,Age-appropriateness concerns
"Surf's Up, Creepy Stuff! (Desmond Cole Ghost Patrol Series)",Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
WeirDo Series: Spooky Weird!,Age-appropriateness concerns,1,Age-appropriateness concerns
"Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship",Age-appropriateness concerns,1,Age-appropriateness concerns
All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color (Spanish Version),Age-appropriateness concerns,1,Age-appropriateness concerns
Henry's Freedom Box: A True Story from the Underground Railroad,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Lola Reads to Leo (Lola Series),Age-appropriateness concerns,1,Age-appropriateness concerns
"Sing a Song: How ""Lift Every Voice and Sing"" Inspired Generations",Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
I Am Rosa Parks,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Your Name Is a Song,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Patina (Track Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Hank's Big Day: The Story of a Bug,Age-appropriateness concerns,1,Age-appropriateness concerns
Teach Us Your Name: Empowering Children to Teach Others to Pronounce Their Names Correctly,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
"This Book Is Anti-Racist: 20 Lessons on How to Wake Up, Take Action, and Do the Work",Race & systemic inequality,1,Race & systemic inequality
All Are Welcome,Age-appropriateness concerns,1,Age-appropriateness concerns
Little Leaders: Bold Women in Black History,Age-appropriateness concerns; Gender politics & feminism,2,Age-appropriateness concerns
"Tito Puente, Mambo King/Tito Puente, Rey del Mambo",Age-appropriateness concerns,1,Age-appropriateness concerns
Mixed Me!,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Not Norman: A Goldfish Story,Age-appropriateness concerns,1,Age-appropriateness concerns
Anna Hibiscus (Anna Hibiscus Series),,0,Uncategorized
Ninth Ward (The Louisiana Girls Trilogy Series),Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Escape from the Roller Ghoster (Desmond Cole Ghost Patrol Series),,0,Uncategorized
Refugee,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
I Am Human: A Book of Empathy (I Am... Series),Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Yasmin the Gardener (Yasmin Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Mae Among the Stars,Age-appropriateness concerns,1,Age-appropriateness concerns
"¡Solo pregunta!: Sé Diferente, Sé Valiente, Sé Tú",Age-appropriateness concerns,1,Age-appropriateness concerns
Bilal Cooks Daal,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
I Am Who I Am,Age-appropriateness concerns,1,Age-appropriateness concerns
WeirDo Series: Crazy Weird!,Age-appropriateness concerns,1,Age-appropriateness concerns
The Proudest Blue: A Story of Hijab and Family,Age-appropriateness concerns; Religion & worldview,2,Age-appropriateness concerns
Amelia to Zora: Twenty-Six Women Who Changed the World,Age-appropriateness concerns,1,Age-appropriateness concerns
Changing the Equation: 50+ US Black Women in STEM,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Yasmin the Superhero (Yasmin Series),Age-appropriateness concerns,1,Age-appropriateness concerns
Look Both Ways: A Tale Told in Ten Blocks,Age-appropriateness concerns,1,Age-appropriateness concerns
A Bike Like Sergio's,Age-appropriateness concerns,1,Age-appropriateness concerns
