book_title,challenge_reasons,num_reasons,primary_reason
Girls Like Us (2019),Age-appropriateness concerns,1,Age-appropriateness concerns
Blood Water Paint,Age-appropriateness concerns; Gender politics & feminism; Violence & mature themes,3,Age-appropriateness concerns
Betrayed (House of Night Series),Age-appropriateness concerns; Sexual or romantic content; Violence & mature themes,3,Age-appropriateness concerns
The Kingdom of Little Wounds,Age-appropriateness concerns,1,Age-appropriateness concerns
To Kill a Mockingbird,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Rape On Campus,Age-appropriateness concerns; Race & systemic inequality; Sexual or romantic content; Violence & mature themes,4,Age-appropriateness concerns
Hear These Voices: Youth at the Edge of the Millennium,Mental health & trauma; Violence & mature themes,2,Mental health & trauma
Bait,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
Call Me By Your Name (Call Me By Your Name Series),LGBTQ+ identity & sexuality; Sexual or romantic content,2,LGBTQ+ identity & sexuality
Ready or Not (All-American Girl Series),Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Walk Two Moons,Age-appropriateness concerns,1,Age-appropriateness concerns
What My Mother Doesn't Know (What My Mother Doesn't Know Series),Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Sisters/Hermanas,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Untamed (House of Night Series),Age-appropriateness concerns; Religion & worldview; Sexual or romantic content,3,Age-appropriateness concerns
Strange Fruit: Why Both Sides Are Wrong in the Race Debate,Race & systemic inequality,1,Race & systemic inequality
Redeemed (House of Night Series),Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
A Bad Boy Can Be Good for a Girl,Age-appropriateness concerns,1,Age-appropriateness concerns
Brave New World,,0,Uncategorized
The Color Purple,Gender politics & feminism; LGBTQ+ identity & sexuality; Mental health & trauma; Sexual or romantic content,4,Gender politics & feminism
Black Enough: Stories of Being Young & Black in America,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
