book_title,author,goodreads_id,goodreads_url,found,search_query
City of Bones,"Clare, Cassandra",256683.0,https://www.goodreads.com/book/show/256683.City_of_Bones?from_search=true&from_srp=true&qid=hpCt2QNdvt&rank=1,True,"City of Bones Clare, Cassandra"
City of Fallen Angels,"Clare, Cassandra",211402123.0,https://www.goodreads.com/book/show/211402123-city-of-fallen-angels-by-cassandra-clare?from_search=true&from_srp=true&qid=e9Hsg6eU1p&rank=1,True,"City of Fallen Angels Clare, Cassandra"
City of Glass,"Clare, Cassandra",3777732.0,https://www.goodreads.com/book/show/3777732-city-of-glass?from_search=true&from_srp=true&qid=SOadmDu7x7&rank=1,True,"City of Glass Clare, Cassandra"
City of Lost Souls,"Clare, Cassandra",14367051.0,https://www.goodreads.com/book/show/14367051-city-of-bones-city-of-ashes-city-of-glass-city-of-fallen-angels?from_search=true&from_srp=true&qid=0xXUklQgnX&rank=1,True,"City of Lost Souls Clare, Cassandra"
Clockwork Angel,"Clare, Cassandra",7171637.0,https://www.goodreads.com/book/show/7171637-clockwork-angel?from_search=true&from_srp=true&qid=33I8Quoi2I&rank=1,True,"Clockwork Angel Clare, Cassandra"
Clockwork Prince,"Clare, Cassandra",10025305.0,https://www.goodreads.com/book/show/10025305-clockwork-prince?from_search=true&from_srp=true&qid=Au2ceLtyQq&rank=1,True,"Clockwork Prince Clare, Cassandra"
Code Name Cassandra,"Cabot, Meg",129860356.0,https://www.goodreads.com/book/show/129860356-vanished-books-one-two-when-lightning-strikes-code-name-cassandra-by?from_search=true&from_srp=true&qid=OzhRM0bU55&rank=1,True,"Code Name Cassandra Cabot, Meg"
Cold Day in the Sun,"Biren, Sara L.",42506018.0,https://www.goodreads.com/book/show/42506018-cold-day-in-the-sun?from_search=true&from_srp=true&qid=KjCA91v8yx&rank=1,True,"Cold Day in the Sun Biren, Sara L."
Cold Mountain,"Frazier, Charles",21361896.0,https://www.goodreads.com/book/show/21361896-a-brief-critical-introduction-to-cold-mountain-charles-frazier?from_search=true&from_srp=true&qid=qM7BprTyQd&rank=1,True,"Cold Mountain Frazier, Charles"
Confessions of a High School Disaster,"Chastain, Emma",29220723.0,https://www.goodreads.com/book/show/29220723-confessions-of-a-high-school-disaster?from_search=true&from_srp=true&qid=oRVhShsWCh&rank=1,True,"Confessions of a High School Disaster Chastain, Emma"
Conversion,"Howe, Katherine",18667792.0,https://www.goodreads.com/book/show/18667792-conversion?from_search=true&from_srp=true&qid=32CcRVwWH1&rank=1,True,"Conversion Howe, Katherine"
Copper Sun,"Draper, Sharon M.",90420.0,https://www.goodreads.com/book/show/90420.Copper_Sun?from_search=true&from_srp=true&qid=5NcHtkIWhq&rank=1,True,"Copper Sun Draper, Sharon M."
Crazy Love,"Abrams, Amir.",13493441.0,https://www.goodreads.com/book/show/13493441-crazy-love?from_search=true&from_srp=true&qid=9wKJ0Iq9pU&rank=1,True,"Crazy Love Abrams, Amir."
Crooked Kingdom,"Bardugo, Leigh",246477613,https://www.goodreads.com/book/show/246477613-crooked-kingdom---leigh-bardugo?from_search=true&from_srp=true&qid=8xjX7q7byP&rank=2,True,"Crooked Kingdom Bardugo, Leigh"
Dangerous Lies,"Fitzpatrick, Becca",20909906.0,https://www.goodreads.com/book/show/20909906-dangerous-lies?from_search=true&from_srp=true&qid=Mt3yDFj95F&rank=1,True,"Dangerous Lies Fitzpatrick, Becca"
Dark Triumph,"LaFevers, Robin",9943270.0,https://www.goodreads.com/book/show/9943270-dark-triumph?from_search=true&from_srp=true&qid=NHvutBbGyj&rank=1,True,"Dark Triumph LaFevers, Robin"
Darkest Hour,"Cabot, Meg",23224.0,https://www.goodreads.com/book/show/23224.Darkest_Hour?from_search=true&from_srp=true&qid=0mDAY18Sq8&rank=1,True,"Darkest Hour Cabot, Meg"
Daughter of Smoke and Bone,"Taylor, Laini",128744791,https://www.goodreads.com/book/show/128744791-dreams-of-gods-monsters-daughter-of-smoke-and-bone-by-taylor-laini?from_search=true&from_srp=true&qid=9CwKvBtpJC&rank=2,True,"Daughter of Smoke and Bone Taylor, Laini"
Daughter of the Pirate King,"Levenseller, Tricia",33643994.0,https://www.goodreads.com/book/show/33643994-daughter-of-the-pirate-king?from_search=true&from_srp=true&qid=RFVePuIltt&rank=1,True,"Daughter of the Pirate King Levenseller, Tricia"
Daughter of the Siren Queen,"Levenseller, Tricia",132627651.0,https://www.goodreads.com/book/show/132627651-tricia-levenseller-2-books-set-daughter-of-the-pirate-king-daughter-of?from_search=true&from_srp=true&qid=MUfcPXXmvz&rank=1,True,"Daughter of the Siren Queen Levenseller, Tricia"
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants","Gladwell, Malcolm",19209733.0,https://www.goodreads.com/book/show/19209733-david-and-goliath?from_search=true&from_srp=true&qid=UBs6t0j44J&rank=1,True,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants Gladwell, Malcolm"
Deadline,"Crutcher, Chris",24242861,https://www.goodreads.com/book/show/24242861-lesson-plan-deadline-by-chris-crutcher?from_search=true&from_srp=true&qid=QeqZhaigIb&rank=2,True,"Deadline Crutcher, Chris"
Dear Evan Hansen,"Emmich, Val",201727772.0,https://www.goodreads.com/book/show/201727772-dear-evan-hansen-by-val-emmich?from_search=true&from_srp=true&qid=fwi8hf3fbr&rank=1,True,"Dear Evan Hansen Emmich, Val"
Dear John,"Sparks, Nicholas",906749.0,https://www.goodreads.com/book/show/906749.Dear_John_Nicholas_Sparks_Paperback?from_search=true&from_srp=true&qid=83jJFBBPfN&rank=1,True,"Dear John Sparks, Nicholas"
Defy the Stars,"Gray, Claudia",31423196.0,https://www.goodreads.com/book/show/31423196-defy-the-stars?from_search=true&from_srp=true&qid=YxyJgP6QL1&rank=1,True,"Defy the Stars Gray, Claudia"
Destined,"Cast, P. C.",7933617.0,https://www.goodreads.com/book/show/7933617-destined?from_search=true&from_srp=true&qid=b33Bv7vHyf&rank=1,True,"Destined Cast, P. C."
Diamonds in the Shadow,"Cooney, Caroline B.",148001269.0,https://www.goodreads.com/book/show/148001269-diamonds-in-the-shadow-by-cooney-caroline-b-2007-hardcover?from_search=true&from_srp=true&qid=pBk6Ama8gy&rank=1,True,"Diamonds in the Shadow Cooney, Caroline B."
Disclosure,"Crichton, Michael",244530793.0,https://www.goodreads.com/book/show/244530793-disclosure-by-michael-crichton-translated-by-madhav-karve?from_search=true&from_srp=true&qid=HnbNoSXqHm&rank=1,True,"Disclosure Crichton, Michael"
Dive Smack,"Brodsky, Demetra",32173182.0,https://www.goodreads.com/book/show/32173182-dive-smack?from_search=true&from_srp=true&qid=qCHmQuq6Ds&rank=1,True,"Dive Smack Brodsky, Demetra"
Don't Ask Me Where I'm From,"De Leon, Jennifer",52766921.0,https://www.goodreads.com/book/show/52766921-don-t-ask-me-where-i-m-from?from_search=true&from_srp=true&qid=ra5LiDArzy&rank=1,True,"Don't Ask Me Where I'm From De Leon, Jennifer"
Dough Boys,"Chase, Paula",43131603.0,https://www.goodreads.com/book/show/43131603-dough-boys?from_search=true&from_srp=true&qid=aGauxxorz1&rank=1,True,"Dough Boys Chase, Paula"
Dragon's Oath,"Cast, P. C.",10324808.0,https://www.goodreads.com/book/show/10324808-dragon-s-oath?from_search=true&from_srp=true&qid=b63y4YvnIA&rank=1,True,"Dragon's Oath Cast, P. C."
Echo,"Block, Francesca Lia",14566.0,https://www.goodreads.com/book/show/14566.Echo?from_search=true&from_srp=true&qid=0iPgIbRxDT&rank=1,True,"Echo Block, Francesca Lia"
Echo After Echo,"Capetta, A. R.",51165961.0,https://www.goodreads.com/book/show/51165961-echo-after-echo?from_search=true&from_srp=true&qid=ekWnVBrY5L&rank=1,True,"Echo After Echo Capetta, A. R."
Ellen Foster,"Gibbons, Kaye",8533731.0,https://www.goodreads.com/book/show/8533731-ellen-foster?from_search=true&from_srp=true&qid=HNS2O7VFe9&rank=1,True,"Ellen Foster Gibbons, Kaye"
Emmy & Oliver,"Benway, Robin",36373413.0,https://www.goodreads.com/book/show/36373413-dear-mrs-bird?from_search=true&from_srp=true&qid=LQXEz7jJdd&rank=1,True,"Emmy & Oliver Benway, Robin"
Eon: Dragoneye Reborn,"Goodman, Alison",157532565.0,https://www.goodreads.com/book/show/157532565-eon?from_search=true&from_srp=true&qid=5O4V0w5za6&rank=1,True,"Eon: Dragoneye Reborn Goodman, Alison"
Every Boy's Got One,"Cabot, Meg",23223.0,https://www.goodreads.com/book/show/23223.Every_Boy_s_Got_One?from_search=true&from_srp=true&qid=oyEKOlJIyw&rank=1,True,"Every Boy's Got One Cabot, Meg"
Every Breath,"Sparks, Nicholas",38212843.0,https://www.goodreads.com/book/show/38212843-every-breath?from_search=true&from_srp=true&qid=LH0xVH7hDv&rank=1,True,"Every Breath Sparks, Nicholas"
Every Last Word,"Stone, Tamara Ireland",23341894.0,https://www.goodreads.com/book/show/23341894-every-last-word?from_search=true&from_srp=true&qid=oyQyesX0Xz&rank=1,True,"Every Last Word Stone, Tamara Ireland"
