book_title,ban_date,avg_search_before,avg_search_after,max_search_before,max_search_after,min_search_before,min_search_after,percent_change,absolute_change,volatility,data_collected,collection_successful,state,error
Flamer,2022-04-01,22.38,26.46,100.0,100.0,0.0,0.0,18.22,4.08,32.43,2026-02-05 21:51:52,True,Florida,
A Peacock Among Pigeons,2022-04-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 21:51:57,True,Florida,
Fifty Shades of Grey (Fifty Shades Series),2022-04-01,3.51,2.11,100.0,100.0,0.0,0.0,-39.87,-1.4,15.33,2026-02-05 21:52:02,True,Florida,
A Day in the Life of Marlon Bundo,2022-04-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 21:52:07,True,Florida,
The Purim Superhero,2022-04-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 21:52:12,True,Florida,
Beautiful Bastard (Beautiful Bastard Series),2022-04-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 21:52:17,True,Florida,
All American Boys,2022-04-01,28.81,43.32,100.0,100.0,0.0,0.0,50.37,14.51,29.27,2026-02-05 21:52:22,True,Mississippi,
Fates and Furies,2022-04-01,1.94,2.22,100.0,100.0,0.0,0.0,14.29,0.28,13.91,2026-02-05 21:52:27,True,Florida,
Drama: A Graphic Novel,2022-04-01,1.7,0.0,100.0,0.0,0.0,0.0,-100.0,-1.7,11.81,2026-02-05 21:52:37,True,Florida,
The God of Small Things,2022-04-01,4.9,9.01,100.0,100.0,0.0,0.0,83.9,4.11,21.58,2026-02-05 21:52:42,True,Florida,
The Handmaid's Tale,2022-04-01,62.74,21.66,100.0,100.0,42.0,12.0,-65.49,-41.09,23.52,2026-02-05 21:52:47,True,Michigan,
The Parker Inheritance,2022-04-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 21:52:52,True,North Carolina,
Caraval (Caraval Series),2022-04-01,2.9,0.0,100.0,0.0,0.0,0.0,-100.0,-2.9,15.72,2026-02-05 21:53:11,True,Texas,
A Court of Mist and Fury (A Court of Thorns and Roses Series),2022-04-01,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-05 21:53:21,True,Florida,
Eleanor & Park,2022-04-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 21:53:26,True,Mississippi,
The Handmaid's Tale: The Graphic Novel,2022-04-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 21:53:40,True,Oregon,
"Mommy, Mama, and Me",2022-04-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 21:53:50,True,Florida,
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",2022-04-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 21:53:59,True,Florida,
How Beautiful We Were,2022-04-01,2.63,11.64,100.0,100.0,0.0,0.0,342.19,9.01,22.41,2026-02-05 21:54:07,True,South Dakota,
And Tango Makes Three,2022-04-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 21:54:11,True,Florida,
"Sex Plus: Learning, Loving, and Enjoying Your Body",2022-04-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 21:54:35,True,Florida,
Two Boys Kissing,2022-04-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 21:54:44,True,Florida,
Speak,2022-04-01,66.64,82.69,100.0,100.0,53.0,71.0,24.07,16.04,10.46,2026-02-05 21:54:50,True,Mississippi,
